06004_vicki_explaining_v1.avif,?/30630/category/1939
06029_walking_uphill_v1.avif,?/30640/category/1939
06066_mp_v1.avif,?/30649/category/1939
06071_mp_plam_v1.avif,?/30650/category/1939
06119_hi_v1.avif,?/30848/category/1944
06170_more_digging_v1.avif,?/30857/category/1944
06226_more_iceaxe_practice_v1.avif,?/30874/category/1944

