00_09818_columns_v1.avif,?/29653/category/1906
01_20240504_010610048_plam_ossa_summit.jpg.avif,?/29694/category/1906
10_09829_columns_and_other_mountains_v1.avif,?/29656/category/1906
11_20240504_014502527_ossa_and_pelion_east.jpg.avif,?/29700/category/1906
12_20240504_020741167_poles_and_lakes_and_mountains.jpg.avif,?/29701/category/1906
21_20240504_025435215_walkway.jpg.avif,?/29703/category/1906
