00_05785_kea_flapping_v1.avif,?/41077/category/2265
01_05795_water_v1.avif,?/41079/category/2265
02_05798_mount_edward_v1.avif,?/41080/category/2265
03_05827_silvereyes_v1.avif,?/41082/category/2265
04_05837_pointy_rocky_peaks_v1.avif,?/41086/category/2265
10_20260222_211237684_mount_edward_v1.avif,?/41114/category/2265
11_20260222_215852340_rees_saddle_and_mp_v1.avif,?/41117/category/2265
12_20260222_233237281_tussock_near_shelter_rock_hut.avif,?/41126/category/2265
13_20260223_002420083_shelter_rock_bunkhouse.avif,?/41127/category/2265
20_05960_takahe_v1.avif,?/41098/category/2265
