03840_kagu.webp,?/26368/category/1805
04123_cloven_feathered_dove_v1.webp,?/26200/category/1801
04576_three_dans_v1.webp,?/26342/category/1802
20231229_215821572_snowy_slopes.webp,?/26846/category/1822
20231230_181348041_five_mile_basin.webp,?/26871/category/1819
20231230_185321979_approaching_half_dome.webp,?/26875/category/1819
