00_09989_stream_v1.avif,?/33917/category/2038
01_00021_leaves_and_new_leaves_v1.avif,?/33898/category/2038
02_20230103_214814485_bright_cloud_v1.avif,?/33930/category/2038
03_00036_narrow_path_v1.avif,?/33902/category/2038
04_00045_tussock_slope_v1.avif,?/33905/category/2038
05_00049_rock_fell_on_boardwalk_v1.avif,?/33907/category/2038
06_00087_falls_near_wilkies_v1.avif,?/33952/category/2039
07_00099_manganui_public_shelter_v1.avif,?/33961/category/2039
08_20230104_232903171_plam_back_at_n_egmont_visitor_centre.avif,?/33981/category/2039
